"","player_id","nameFirst","nameLast","birthDate","pa","at_bats","tot_ob","total_bases","strike_outs","walks","hr","game_type"
"29",506560,"Alexi","Amarista",1989-04-06,175,167,47,59,38,7,3,"nbd"
"30",506560,"Alexi","Amarista",1989-04-06,1,1,0,0,0,0,0,"bd"
"31",605119,"Brian","Anderson",1993-05-19,1442,1270,503,533,306,132,37,"nbd"
"32",605119,"Brian","Anderson",1993-05-19,12,12,3,6,2,0,1,"bd"
"33",641313,"Tim","Anderson",1993-06-23,3037,2895,949,1262,703,107,86,"nbd"
"34",641313,"Tim","Anderson",1993-06-23,26,26,8,12,8,0,1,"bd"
"35",462101,"Elvis","Andrus",1988-08-26,3440,3149,1097,1251,484,228,61,"nbd"
"36",462101,"Elvis","Andrus",1988-08-26,24,23,6,7,4,1,0,"bd"
"37",606157,"Aristides","Aquino",1994-04-22,274,257,68,94,100,17,10,"nbd"
"38",606157,"Aristides","Aquino",1994-04-22,2,2,0,0,1,0,0,"bd"
"39",516472,"Francisco","Arcia",1989-09-14,105,102,24,44,27,1,6,"nbd"
"40",516472,"Francisco","Arcia",1989-09-14,1,1,0,0,0,0,0,"bd"
"41",606115,"Orlando","Arcia",1994-08-04,1681,1544,498,563,343,115,41,"nbd"
"42",606115,"Orlando","Arcia",1994-08-04,13,13,5,10,4,0,1,"bd"
"43",571448,"Nolan","Arenado",1991-04-16,3290,2942,1176,1629,467,293,182,"nbd"
"44",571448,"Nolan","Arenado",1991-04-16,21,20,6,11,3,1,1,"bd"
"45",650333,"Luis","Arraez",1997-04-09,599,543,225,226,43,50,7,"nbd"
"46",650333,"Luis","Arraez",1997-04-09,4,4,1,4,0,0,1,"bd"
"47",624414,"Christian","Arroyo",1995-05-30,713,654,217,258,157,39,18,"nbd"
"48",624414,"Christian","Arroyo",1995-05-30,19,18,7,9,2,1,0,"bd"
"49",605125,"Cody","Asche",1990-06-30,453,422,133,167,110,26,12,"nbd"
"50",605125,"Cody","Asche",1990-06-30,3,3,1,1,1,0,0,"bd"
"51",592122,"Tyler","Austin",1991-09-06,308,272,89,113,118,33,15,"nbd"
"52",592122,"Tyler","Austin",1991-09-06,7,5,4,5,2,2,1,"bd"
"53",668731,"Akil","Baddoo",1998-08-16,221,197,63,52,64,24,2,"nbd"
"54",668731,"Akil","Baddoo",1998-08-16,4,4,2,2,0,0,0,"bd"
"55",664056,"Harrison","Bader",1994-06-03,731,662,232,262,183,46,17,"nbd"
"56",664056,"Harrison","Bader",1994-06-03,9,9,2,2,4,0,0,"bd"
"57",456701,"Homer","Bailey",1986-05-03,74,68,9,9,28,1,0,"nbd"
"58",456701,"Homer","Bailey",1986-05-03,2,2,0,0,1,0,0,"bd"
"59",425557,"Jeff","Baker",1981-06-21,79,71,23,27,25,8,3,"nbd"
"60",425557,"Jeff","Baker",1981-06-21,1,1,0,0,0,0,0,"bd"
"61",607455,"Anthony","Banda",1993-08-10,5,5,0,0,3,0,0,"nbd"
"62",607455,"Anthony","Banda",1993-08-10,1,0,0,0,0,0,0,"bd"
"63",150148,"Rod","Barajas",1975-09-05,357,317,101,109,69,29,11,"nbd"
"64",150148,"Rod","Barajas",1975-09-05,4,4,1,1,0,0,0,"bd"
"65",607461,"Matt","Beaty",1993-04-28,276,244,90,88,52,21,7,"nbd"
"66",607461,"Matt","Beaty",1993-04-28,5,3,3,1,0,1,0,"bd"
"67",493596,"Gordon","Beckham",1986-09-16,275,241,81,83,51,26,5,"nbd"
"68",493596,"Gordon","Beckham",1986-09-16,4,4,1,2,1,0,0,"bd"
"69",605137,"Josh","Bell",1992-08-14,2613,2257,924,1045,481,314,101,"nbd"
"70",605137,"Josh","Bell",1992-08-14,21,16,7,2,3,5,0,"bd"
"71",641355,"Cody","Bellinger",1995-07-13,1829,1608,624,800,408,200,90,"nbd"
"72",641355,"Cody","Bellinger",1995-07-13,14,11,7,9,1,2,1,"bd"
"73",474832,"Brandon","Belt",1988-04-20,2734,2350,982,1089,639,340,99,"nbd"
"74",474832,"Brandon","Belt",1988-04-20,22,20,3,4,9,2,1,"bd"
"75",136860,"Carlos","Beltran",1977-04-24,1116,1023,377,507,184,79,48,"nbd"
"76",136860,"Carlos","Beltran",1977-04-24,8,7,2,1,2,1,0,"bd"
"77",134181,"Adrian","Beltre",1979-04-07,1251,1142,436,561,130,89,50,"nbd"
"78",134181,"Adrian","Beltre",1979-04-07,8,8,0,0,1,0,0,"bd"
"79",643217,"Andrew","Benintendi",1994-07-06,2969,2626,1037,1130,528,285,70,"nbd"
"80",643217,"Andrew","Benintendi",1994-07-06,24,21,13,17,4,3,1,"bd"
"81",542194,"Christian","Bethancourt",1991-09-02,485,465,128,170,112,17,12,"nbd"
"82",542194,"Christian","Bethancourt",1991-09-02,8,8,2,5,1,0,1,"bd"
"83",624415,"Cavan","Biggio",1995-04-11,302,256,96,90,85,38,6,"nbd"
"84",624415,"Cavan","Biggio",1995-04-11,1,1,0,0,0,0,0,"bd"
"85",453568,"Charlie","Blackmon",1986-07-01,4529,4079,1609,1983,773,328,159,"nbd"
"86",453568,"Charlie","Blackmon",1986-07-01,22,20,5,7,6,2,1,"bd"
"87",433217,"Andres","Blanco",1984-04-11,400,358,128,153,77,33,10,"nbd"
"88",433217,"Andres","Blanco",1984-04-11,5,5,2,2,1,0,0,"bd"
"89",453269,"Brennan","Boesch",1985-04-12,91,86,18,18,28,4,1,"nbd"
"90",453269,"Brennan","Boesch",1985-04-12,3,3,0,0,2,0,0,"bd"
"91",664761,"Alec","Bohm",1996-08-03,1040,959,323,361,218,61,20,"nbd"
"92",664761,"Alec","Bohm",1996-08-03,8,7,3,2,3,1,0,"bd"
"93",466988,"Emilio","Bonifacio",1985-04-23,43,38,6,8,9,1,0,"nbd"
"94",466988,"Emilio","Bonifacio",1985-04-23,1,0,0,0,0,0,0,"bd"
"95",593528,"Jorge","Bonifacio",1993-06-04,418,381,134,166,116,34,17,"nbd"
"96",593528,"Jorge","Bonifacio",1993-06-04,4,3,1,0,2,1,0,"bd"
"97",623520,"David","Bote",1993-04-07,681,592,219,224,166,71,19,"nbd"
"98",623520,"David","Bote",1993-04-07,2,2,0,0,0,0,0,"bd"
"99",571506,"Justin","Bour",1988-05-28,1239,1069,436,502,274,157,60,"nbd"
"100",571506,"Justin","Bour",1988-05-28,12,11,4,4,1,1,0,"bd"
"101",598265,"Jackie","Bradley",1990-04-19,2523,2245,762,877,640,217,70,"nbd"
"102",598265,"Jackie","Bradley",1990-04-19,13,12,2,1,4,0,0,"bd"
"103",488726,"Michael","Brantley",1987-05-15,2490,2236,915,1052,255,214,68,"nbd"
"104",488726,"Michael","Brantley",1987-05-15,26,19,13,9,2,7,0,"bd"
"105",621446,"Lewis","Brinson",1994-05-08,402,378,96,128,119,17,11,"nbd"
"106",621446,"Lewis","Brinson",1994-05-08,4,4,1,1,1,0,0,"bd"
"107",664913,"Seth","Brown",1992-07-13,551,496,168,220,145,51,25,"nbd"
"108",664913,"Seth","Brown",1992-07-13,4,4,1,2,1,0,0,"bd"
"109",542979,"Keon","Broxton",1990-05-07,459,411,136,173,175,39,20,"nbd"
"110",542979,"Keon","Broxton",1990-05-07,4,3,2,1,0,1,0,"bd"
"111",457803,"Jay","Bruce",1987-04-03,1664,1479,541,682,380,171,78,"nbd"
"112",457803,"Jay","Bruce",1987-04-03,17,14,6,3,5,3,0,"bd"
"113",621111,"Walker","Buehler",1994-07-28,142,122,21,17,75,9,1,"nbd"
"114",621111,"Walker","Buehler",1994-07-28,6,6,0,0,3,0,0,"bd"
"115",542993,"Billy","Burns",1989-08-30,549,515,182,202,79,25,5,"nbd"
"116",542993,"Billy","Burns",1989-08-30,6,5,3,2,2,1,0,"bd"
"117",456714,"Billy","Butler",1986-04-18,597,534,192,208,100,52,15,"nbd"
"118",456714,"Billy","Butler",1986-04-18,4,4,2,2,1,0,0,"bd"
"119",407781,"Marlon","Byrd",1977-08-30,540,502,155,222,145,29,23,"nbd"
"120",407781,"Marlon","Byrd",1977-08-30,4,4,3,7,0,0,0,"bd"
"121",466320,"Melky","Cabrera",1984-08-11,2652,2451,863,1029,309,160,56,"nbd"
"122",466320,"Melky","Cabrera",1984-08-11,18,17,5,6,1,0,0,"bd"
"123",408234,"Miguel","Cabrera",1983-04-18,2410,2118,897,978,439,259,72,"nbd"
"124",408234,"Miguel","Cabrera",1983-04-18,21,18,8,14,5,2,2,"bd"
"125",456715,"Lorenzo","Cain",1986-04-13,3188,2872,1130,1213,527,264,69,"nbd"
"126",456715,"Lorenzo","Cain",1986-04-13,24,18,10,6,3,5,0,"bd"
"127",430948,"Alberto","Callaspo",1983-04-19,257,226,82,64,33,28,1,"nbd"
"128",430948,"Alberto","Callaspo",1983-04-19,4,4,0,0,1,0,0,"bd"
"129",669134,"Luis","Campusano",1998-09-29,46,44,12,15,10,1,1,"nbd"
"130",669134,"Luis","Campusano",1998-09-29,4,4,1,1,1,0,0,"bd"
"131",425626,"Chris","Capuano",1978-08-19,46,39,11,12,16,2,1,"nbd"
"132",425626,"Chris","Capuano",1978-08-19,2,2,0,0,0,0,0,"bd"
"133",605170,"Victor","Caratini",1993-08-17,744,662,231,215,166,60,11,"nbd"
"134",605170,"Victor","Caratini",1993-08-17,10,7,3,0,2,3,0,"bd"
"135",506924,"Stephen","Cardullo",1987-08-31,58,55,14,19,12,3,1,"nbd"
"136",506924,"Stephen","Cardullo",1987-08-31,1,1,1,4,0,0,1,"bd"
"137",112020,"Chris","Carpenter",1975-04-27,171,144,20,18,45,6,1,"nbd"
"138",112020,"Chris","Carpenter",1975-04-27,6,5,0,0,3,0,0,"bd"
"139",485567,"Ezequiel","Carrera",1987-06-11,321,284,113,117,73,29,8,"nbd"
"140",485567,"Ezequiel","Carrera",1987-06-11,4,3,1,0,2,1,0,"bd"
"141",488768,"Andrew","Cashner",1986-09-11,60,59,6,5,24,1,0,"nbd"
"142",488768,"Andrew","Cashner",1986-09-11,1,1,0,0,0,0,0,"bd"
"143",458210,"Alexi","Casilla",1984-07-20,361,319,112,114,45,28,2,"nbd"
"144",458210,"Alexi","Casilla",1984-07-20,4,4,3,5,0,0,0,"bd"
"145",456078,"Welington","Castillo",1987-04-24,1612,1482,490,653,428,102,70,"nbd"
"146",456078,"Welington","Castillo",1987-04-24,20,17,9,10,2,3,1,"bd"
"147",488771,"Jason","Castro",1987-06-18,742,657,218,243,233,78,22,"nbd"
"148",488771,"Jason","Castro",1987-06-18,9,9,3,4,5,0,0,"bd"
"149",666801,"Rodolfo","Castro",1999-05-21,274,249,83,108,73,22,11,"nbd"
"150",666801,"Rodolfo","Castro",1999-05-21,4,4,0,0,1,0,0,"bd"
"151",650489,"Willi","Castro",1997-04-24,447,410,121,141,109,23,8,"nbd"
"152",650489,"Willi","Castro",1997-04-24,3,3,1,4,0,0,1,"bd"
"153",644374,"Yu","Chang",1995-08-18,436,401,121,154,127,26,13,"nbd"
"154",644374,"Yu","Chang",1995-08-18,5,4,1,0,1,1,0,"bd"
"155",656305,"Matt","Chapman",1993-04-28,2512,2182,838,1014,660,278,114,"nbd"
"156",656305,"Matt","Chapman",1993-04-28,17,15,6,5,5,1,0,"bd"
"157",656308,"Michael","Chavis",1995-08-11,958,887,274,361,300,57,37,"nbd"
"158",656308,"Michael","Chavis",1995-08-11,8,7,3,4,3,1,0,"bd"
"159",455139,"Robinson","Chirinos",1984-06-05,691,585,229,248,199,73,27,"nbd"
"160",455139,"Robinson","Chirinos",1984-06-05,8,8,2,5,3,0,1,"bd"
"161",596847,"Ji-Man","Choi",1991-05-19,1002,847,359,387,247,135,40,"nbd"
"162",596847,"Ji-Man","Choi",1991-05-19,11,11,3,3,3,0,0,"bd"
"163",425783,"Shin-Soo","Choo",1982-07-13,1315,1115,491,494,318,169,44,"nbd"
"164",425783,"Shin-Soo","Choo",1982-07-13,10,8,4,5,3,1,1,"bd"
"165",458085,"Chris","Coghlan",1985-06-18,799,697,257,277,166,93,22,"nbd"
"166",458085,"Chris","Coghlan",1985-06-18,4,4,1,1,1,0,0,"bd"
"167",518568,"Christian","Colon",1989-05-14,158,144,47,43,30,11,1,"nbd"
"168",518568,"Christian","Colon",1989-05-14,3,3,0,0,1,0,0,"bd"
"169",575929,"Willson","Contreras",1992-05-13,1447,1257,503,566,318,141,53,"nbd"
"170",575929,"Willson","Contreras",1992-05-13,12,10,3,1,4,2,0,"bd"
"171",571578,"Patrick","Corbin",1989-07-19,99,88,15,10,37,6,0,"nbd"
"172",571578,"Patrick","Corbin",1989-07-19,2,2,0,0,1,0,0,"bd"
"173",621043,"Carlos","Correa",1994-09-22,2520,2221,905,1045,498,266,95,"nbd"
"174",621043,"Carlos","Correa",1994-09-22,23,21,4,3,5,1,0,"bd"
"175",429781,"Kevin","Correia",1980-08-24,29,25,4,3,12,1,0,"nbd"
"176",429781,"Kevin","Correia",1980-08-24,2,2,0,0,0,0,0,"bd"
"177",446359,"Zack","Cozart",1985-08-12,2755,2516,837,1025,451,180,70,"nbd"
"178",446359,"Zack","Cozart",1985-08-12,21,20,2,4,5,1,1,"bd"
"179",501800,"Allen","Craig",1984-07-18,628,575,214,285,113,44,25,"nbd"
"180",501800,"Allen","Craig",1984-07-18,10,8,5,7,2,2,1,"bd"
"181",443558,"Nelson","Cruz",1980-07-01,4742,4198,1661,2173,1045,438,265,"nbd"
"182",443558,"Nelson","Cruz",1980-07-01,30,29,9,15,6,1,2,"bd"
"183",518586,"Charlie","Culberson",1989-04-10,586,542,180,237,158,32,19,"nbd"
"184",518586,"Charlie","Culberson",1989-04-10,4,4,1,1,2,0,0,"bd"
"185",621311,"David","Dahl",1994-04-01,623,570,193,256,165,37,19,"nbd"
"186",621311,"David","Dahl",1994-04-01,10,9,6,6,4,1,0,"bd"
"187",666915,"Bobby","Dalbec",1995-06-29,802,730,233,321,273,57,37,"nbd"
"188",666915,"Bobby","Dalbec",1995-06-29,4,4,2,2,1,0,0,"bd"
"189",506433,"Yu","Darvish",1986-08-16,18,15,2,1,12,1,0,"nbd"
"190",506433,"Yu","Darvish",1986-08-16,2,2,0,0,2,0,0,"bd"
"191",605204,"J. D.","Davis",1993-04-27,1017,897,368,425,282,100,39,"nbd"
"192",605204,"J. D.","Davis",1993-04-27,12,10,4,2,5,1,0,"bd"
"193",664041,"Jaylin","Davis",1994-07-01,8,8,1,2,1,0,0,"nbd"
"194",664041,"Jaylin","Davis",1994-07-01,1,1,0,0,0,0,0,"bd"
"195",641505,"Jonathan","Davis",1992-05-12,92,80,25,22,23,5,2,"nbd"
"196",641505,"Jonathan","Davis",1992-05-12,3,3,0,0,1,0,0,"bd"
"197",457477,"Alejandro","De Aza",1984-04-11,360,320,119,132,82,31,6,"nbd"
"198",457477,"Alejandro","De Aza",1984-04-11,5,5,2,5,2,0,1,"bd"
"199",474443,"Ivan","De Jesus",1987-05-01,241,219,75,69,51,17,1,"nbd"
"200",474443,"Ivan","De Jesus",1987-05-01,2,2,0,0,0,0,0,"bd"
"201",407822,"Jorge","De La Rosa",1981-04-05,66,59,10,9,25,1,0,"nbd"
"202",407822,"Jorge","De La Rosa",1981-04-05,1,1,0,0,1,0,0,"bd"
"203",657557,"Paul","DeJong",1993-08-02,1329,1202,408,523,370,93,53,"nbd"
"204",657557,"Paul","DeJong",1993-08-02,15,13,3,1,6,2,0,"bd"
"205",592261,"Delino","DeShields",1992-08-16,1832,1582,590,543,421,184,14,"nbd"
"206",592261,"Delino","DeShields",1992-08-16,21,17,9,6,1,3,0,"bd"
"207",133225,"Ryan","Dempster",1977-05-03,98,86,9,10,26,1,0,"nbd"
"208",133225,"Ryan","Dempster",1977-05-03,5,4,0,0,2,0,0,"bd"
"209",435622,"Ian","Desmond",1985-09-20,2156,1976,678,841,550,145,68,"nbd"
"210",435622,"Ian","Desmond",1985-09-20,17,14,3,1,3,2,0,"bd"
"211",649557,"Aledmys","Diaz",1990-08-01,1086,1009,329,429,176,57,38,"nbd"
"212",649557,"Aledmys","Diaz",1990-08-01,12,12,3,4,1,0,0,"bd"
"213",656371,"Isan","Diaz",1996-05-27,274,236,79,67,72,32,4,"nbd"
"214",656371,"Isan","Diaz",1996-05-27,4,2,2,0,1,2,0,"bd"
"215",650490,"Yandy","Diaz",1991-08-08,674,575,249,223,101,92,15,"nbd"
"216",650490,"Yandy","Diaz",1991-08-08,5,4,1,1,1,0,0,"bd"
"217",543105,"Alex","Dickerson",1990-05-26,309,280,95,119,74,23,13,"nbd"
"218",543105,"Alex","Dickerson",1990-05-26,3,3,0,0,2,0,0,"bd"
"219",572816,"Corey","Dickerson",1989-05-22,2830,2638,917,1256,582,161,99,"nbd"
"220",572816,"Corey","Dickerson",1989-05-22,20,17,5,6,1,2,1,"bd"
"221",518618,"Derek","Dietrich",1989-07-18,1154,996,406,431,244,91,30,"nbd"
"222",518618,"Derek","Dietrich",1989-07-18,11,11,3,4,3,0,0,"bd"
"223",594694,"Wilmer","Difo",1992-04-02,592,532,177,181,108,50,9,"nbd"
"224",594694,"Wilmer","Difo",1992-04-02,8,7,3,3,3,1,0,"bd"
"225",572821,"Brian","Dozier",1987-05-15,2508,2182,811,917,509,279,91,"nbd"
"226",572821,"Brian","Dozier",1987-05-15,17,13,5,6,2,2,1,"bd"
"227",641531,"Hunter","Dozier",1991-08-22,1685,1513,525,661,454,148,58,"nbd"
"228",641531,"Hunter","Dozier",1991-08-22,18,17,6,9,5,1,1,"bd"
"229",592273,"Brandon","Drury",1992-08-21,2027,1872,618,825,448,124,72,"nbd"
"230",592273,"Brandon","Drury",1992-08-21,16,16,6,7,3,0,0,"bd"
"231",435043,"Zach","Duke",1983-04-19,77,58,16,14,17,4,0,"nbd"
"232",435043,"Zach","Duke",1983-04-19,2,2,0,0,1,0,0,"bd"
"233",594807,"Adam","Duvall",1988-09-04,2075,1892,608,930,585,134,122,"nbd"
"234",594807,"Adam","Duvall",1988-09-04,16,14,8,11,3,2,1,"bd"
"235",502481,"Jarrod","Dyson",1984-08-15,1056,936,331,321,178,89,14,"nbd"
"236",502481,"Jarrod","Dyson",1984-08-15,11,10,3,4,0,0,0,"bd"
"237",669242,"Tommy","Edman",1995-05-09,687,637,212,248,95,38,11,"nbd"
"238",669242,"Tommy","Edman",1995-05-09,4,4,0,0,0,0,0,"bd"
"239",454560,"A. J.","Ellis",1981-04-09,193,168,58,51,29,19,2,"nbd"
"240",454560,"A. J.","Ellis",1981-04-09,3,3,0,0,2,0,0,"bd"
"241",453056,"Jacoby","Ellsbury",1983-09-11,1523,1348,497,504,232,129,23,"nbd"
"242",453056,"Jacoby","Ellsbury",1983-09-11,13,11,2,1,1,1,0,"bd"
"243",518653,"Jake","Elmore",1987-06-15,153,137,40,39,25,12,2,"nbd"
"244",518653,"Jake","Elmore",1987-06-15,5,4,1,1,0,0,0,"bd"
"245",640447,"Phil","Ervin",1992-07-15,258,234,85,109,62,18,7,"nbd"
"246",640447,"Phil","Ervin",1992-07-15,2,2,1,1,1,0,0,"bd"
"247",457787,"Danny","Espinosa",1987-04-25,700,626,198,223,213,54,19,"nbd"
"248",457787,"Danny","Espinosa",1987-04-25,7,7,1,1,2,0,0,"bd"
"249",571657,"Kyle","Farmer",1990-08-17,1104,1001,349,403,194,55,30,"nbd"
"250",571657,"Kyle","Farmer",1990-08-17,8,8,1,1,2,0,0,"bd"
"251",657571,"Caleb","Ferguson",1996-07-02,4,4,1,1,2,0,0,"nbd"
"252",657571,"Caleb","Ferguson",1996-07-02,1,1,0,0,1,0,0,"bd"
"253",425902,"Prince","Fielder",1984-05-09,1762,1504,650,658,287,208,62,"nbd"
"254",425902,"Prince","Fielder",1984-05-09,15,13,6,7,2,2,1,"bd"
"255",605232,"Brandon","Finnegan",1993-04-14,6,6,0,0,1,0,0,"nbd"
"256",605232,"Brandon","Finnegan",1993-04-14,1,1,0,0,0,0,0,"bd"
"257",605233,"Derek","Fisher",1993-08-21,166,145,48,54,57,21,7,"nbd"
"258",605233,"Derek","Fisher",1993-08-21,1,1,0,0,0,0,0,"bd"
"259",475247,"Ryan","Flaherty",1986-07-27,297,263,84,95,80,26,9,"nbd"
"260",475247,"Ryan","Flaherty",1986-07-27,4,4,0,0,1,0,0,"bd"
"261",664058,"David","Fletcher",1994-05-31,1311,1215,423,431,124,86,8,"nbd"
"262",664058,"David","Fletcher",1994-05-31,7,7,1,1,0,0,0,"bd"
"263",527038,"Wilmer","Flores",1991-08-06,2355,2121,749,945,336,181,94,"nbd"
"264",527038,"Wilmer","Flores",1991-08-06,22,20,9,7,3,1,0,"bd"
"265",645801,"Mike","Ford",1992-07-04,160,141,55,79,28,16,12,"nbd"
"266",645801,"Mike","Ford",1992-07-04,3,2,2,1,0,1,0,"bd"
"267",664034,"Ty","France",1994-07-13,609,547,207,240,94,35,20,"nbd"
"268",664034,"Ty","France",1994-07-13,4,4,0,0,0,0,0,"bd"
"269",596748,"Maikel","Franco",1992-08-26,1944,1796,590,783,299,125,78,"nbd"
"270",596748,"Maikel","Franco",1992-08-26,17,16,2,4,2,1,1,"bd"
"271",640449,"Jackson","Frazier",1994-09-06,156,128,62,67,42,24,8,"nbd"
"272",640449,"Jackson","Frazier",1994-09-06,4,3,1,0,2,1,0,"bd"
"273",518692,"Freddie","Freeman",1989-09-12,5334,4591,2082,2406,989,648,227,"nbd"
"274",518692,"Freddie","Freeman",1989-09-12,38,35,16,21,9,3,2,"bd"
"275",502273,"Mike","Freeman",1987-08-04,64,58,17,11,20,5,0,"nbd"
"276",502273,"Mike","Freeman",1987-08-04,1,1,0,0,0,0,0,"bd"
"277",501896,"David","Freese",1983-04-28,2325,2082,809,902,542,192,67,"nbd"
"278",501896,"David","Freese",1983-04-28,19,16,7,8,4,2,1,"bd"
"279",592325,"Ben","Gamel",1992-05-17,1608,1436,534,553,380,153,28,"nbd"
"280",592325,"Ben","Gamel",1992-05-17,14,12,5,5,5,2,0,"bd"
"281",611177,"Adonis","Garcia",1985-04-12,738,697,223,274,113,31,19,"nbd"
"282",611177,"Adonis","Garcia",1985-04-12,8,8,2,2,3,0,0,"bd"
"283",541645,"Avisail","Garcia",1991-06-12,2380,2196,786,942,544,143,69,"nbd"
"284",541645,"Avisail","Garcia",1991-06-12,21,21,7,11,7,0,1,"bd"
"285",594824,"Greg","Garcia",1989-08-08,531,450,183,147,103,65,6,"nbd"
"286",594824,"Greg","Garcia",1989-08-08,5,5,1,2,2,0,0,"bd"
"287",458731,"Brett","Gardner",1983-08-24,4176,3637,1401,1479,803,437,102,"nbd"
"288",458731,"Brett","Gardner",1983-08-24,25,22,9,7,2,2,0,"bd"
"289",572863,"Dustin","Garneau",1987-08-13,98,83,34,34,21,10,3,"nbd"
"290",572863,"Dustin","Garneau",1987-08-13,3,3,1,1,1,0,0,"bd"
"291",666129,"Braxton","Garrett",1997-08-05,10,10,2,2,3,0,0,"nbd"
"292",666129,"Braxton","Garrett",1997-08-05,1,1,0,0,1,0,0,"bd"
"293",594828,"Evan","Gattis",1986-08-18,1922,1761,566,839,424,126,105,"nbd"
"294",594828,"Evan","Gattis",1986-08-18,14,13,4,4,4,1,0,"bd"
"295",518716,"Dillon","Gee",1986-04-28,31,25,6,6,6,2,0,"nbd"
"296",518716,"Dillon","Gee",1986-04-28,3,2,0,0,1,0,0,"bd"
"297",571697,"Scooter","Gennett",1990-05-01,1131,1041,397,531,238,72,50,"nbd"
"298",571697,"Scooter","Gennett",1990-05-01,4,4,0,0,1,0,0,"bd"
"299",543213,"Johnny","Giavotella",1987-07-10,497,448,154,165,58,32,4,"nbd"
"300",543213,"Johnny","Giavotella",1987-07-10,5,5,3,5,1,0,0,"bd"
"301",543216,"Conor","Gillaspie",1987-07-18,503,461,170,193,78,36,7,"nbd"
"302",543216,"Conor","Gillaspie",1987-07-18,3,3,0,0,0,0,0,"bd"
"303",665926,"Andres","Gimenez",1998-09-04,887,787,303,338,193,50,25,"nbd"
"304",665926,"Andres","Gimenez",1998-09-04,12,10,5,4,1,2,0,"bd"
"305",643327,"Zack","Godley",1990-04-21,63,51,6,2,29,4,0,"nbd"
"306",643327,"Zack","Godley",1990-04-21,2,2,1,1,1,0,0,"bd"
"307",502671,"Paul","Goldschmidt",1987-09-10,4277,3658,1660,1910,948,553,197,"nbd"
"308",502671,"Paul","Goldschmidt",1987-09-10,26,24,6,10,8,2,2,"bd"
"309",543228,"Yan","Gomes",1987-07-19,1254,1152,374,488,307,74,45,"nbd"
"310",543228,"Yan","Gomes",1987-07-19,11,10,5,5,1,1,0,"bd"
"311",408236,"Adrian","Gonzalez",1982-05-08,1451,1298,498,581,255,130,52,"nbd"
"312",408236,"Adrian","Gonzalez",1982-05-08,12,10,4,3,3,2,0,"bd"
"313",570481,"Erik","Gonzalez",1991-08-31,343,317,93,105,85,17,3,"nbd"
"314",570481,"Erik","Gonzalez",1991-08-31,6,6,2,5,3,0,1,"bd"
"315",461829,"Gio","Gonzalez",1985-09-19,117,104,11,14,47,1,1,"nbd"
"316",461829,"Gio","Gonzalez",1985-09-19,4,3,1,0,0,1,0,"bd"
"317",605253,"Terrance","Gore",1991-06-08,55,49,20,18,17,5,0,"nbd"
"318",605253,"Terrance","Gore",1991-06-08,3,2,1,0,1,1,0,"bd"
